year,month,day,duration,anchorA,anchorB
2021,09,26,38,Bao-XiaoFeng,Guo-ZhiJian
2021,09,27,33,Li-ZiMeng,Yan-YuXin
2021,09,28,47,Bao-XiaoFeng,Guo-ZhiJian
2021,09,29,45,Zheng-Li,Gang-Qiang
2021,09,30,52,Li-ZiMeng,Kang-Hui
2021,10,01,30,Hai-Xia,Kang-Hui
2021,10,02,30,Zheng-Li,Pan-Tao
2021,10,03,30,Bao-XiaoFeng,Guo-ZhiJian
2021,10,04,30,Li-ZiMeng,Yan-YuXin
2021,10,05,30,Li-ZiMeng,Gang-Qiang
2021,10,06,30,Bao-XiaoFeng,Kang-Hui
2021,10,07,30,Hai-Xia,Pan-Tao
2021,10,08,35,Hai-Xia,Gang-Qiang
2021,10,09,30,Zheng-Li,Pan-Tao
2021,10,10,30,Zheng-Li,Kang-Hui
2021,10,11,30,Li-ZiMeng,Yan-YuXin
2021,10,12,30,Zheng-Li,Gang-Qiang
2021,10,13,30,Hai-Xia,Guo-ZhiJian
2021,10,14,43,Hai-Xia,Guo-ZhiJian
2021,10,15,39,Bao-XiaoFeng,Kang-Hui
2021,10,16,30,Bao-XiaoFeng,Kang-Hui
2021,10,17,30,Li-ZiMeng,Pan-Tao
2021,10,18,30,Zheng-Li,Yan-YuXin
2021,10,19,40,Li-ZiMeng,Pan-Tao
2021,10,20,35,Hai-Xia,Gang-Qiang
2021,10,21,35,Zheng-Li,Kang-Hui
2021,10,22,50,Bao-XiaoFeng,Guo-ZhiJian
2021,10,23,30,Hai-Xia,Guo-ZhiJian
2021,10,24,30,Li-ZiMeng,Yan-YuXin
2021,10,25,40,Hai-Xia,Guo-ZhiJian
2021,10,26,40,Li-ZiMeng,Guo-ZhiJian
2021,10,27,50,Hai-Xia,Gang-Qiang
2021,10,28,30,Bao-XiaoFeng,Gang-Qiang
2021,10,29,30,Bao-XiaoFeng,Pan-Tao
2021,10,30,30,Zheng-Li,Yan-YuXin
2021,10,31,30,Li-ZiMeng,Gang-Qiang
2021,11,01,30,Bao-XiaoFeng,Yan-YuXin
2021,11,02,40,Li-ZiMeng,Yan-YuXin
2021,11,03,36,Li-ZiMeng,Pan-Tao
2021,11,04,35,Zheng-Li,Guo-ZhiJian
